class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,25.08827736,91.84189308,15,0.5497608,-0.42691335,1.381413,33654.9735,2.938271605,51.454678,4,3.6333334,1086.791888
1,24.9841667,91.70952329,12,0.068101875,0.08431944,1.0231324,45482.05112,0.913580247,54.57589,4,6.733333,333.7243603
1,25.02674512,91.77305471,11,0.38023713,-0.24668458,3.582896,12967.91186,-0.888888889,51.36942,4,70.833336,389.8130748
1,25.16023935,91.81736826,11,0.4837389,-0.2949866,1.3818599,33624.711,-3.024691358,49.728397,4,344.33334,669.3765572
1,25.05217784,91.73925954,12,0.13583368,-0.023903694,3.0684888,15144.05409,2.518518519,50.14763,7,0.3,889.2039208
1,25.13123387,91.83301293,11,0.50771195,-0.39221305,0.92740995,50118.53962,-0.12345679,52.62562,4,39.733334,394.665654
1,25.02454328,91.7708367,12,-0.130677,0.28832093,2.2463086,20700.76027,0.444444444,51.36942,4,74.833336,484.1915312
1,25.11588155,91.76467069,17,0.5097349,-0.3004084,2.7615626,16821.70957,-0.679012346,51.92634,4,88.333336,225.628118
1,25.12713568,91.82107201,12,0.65836155,-0.50075454,0,0,-0.37037037,52.62562,4,9.133333,1370.236254
1,25.0580666,91.77542951,13,0.564434,-0.39149162,2.117818,21952.05289,1.12345679,51.48252,6,0.26666668,1042.828423
1,25.12956782,91.77068023,18,0.3174507,-0.19320922,0.92740995,50119.18814,2.185185185,51.92634,4,61.766666,264.6955463
1,25.02753301,91.78357051,14,0.38580027,-0.238005,0.92740995,50160.09751,1.75308642,51.36942,6,2.8333333,21.7802497
1,25.04134736,91.70937822,11,-0.32852635,0.5127534,1.3811224,33674.66291,0.888888889,49.474915,4,0.8333333,410.0437026
1,25.02267376,91.73214656,16,0.5512512,-0.40588236,2.9621232,15692.5874,2.037037037,49.474915,4,52.866665,30.95882151
1,25.1600324,91.80186196,19,0.5221311,-0.4019365,1.3818582,33624.825,1.987654321,49.728397,4,529.5,80.50730165
1,25.07363614,91.82106526,12,0.47349325,-0.37353188,1.8543341,25070.83099,-1,51.454678,6,6.4333334,202.5927273
1,24.98083189,91.71286697,18,0.6717207,-0.53233546,2.9620037,15698.44103,5.49382716,54.57589,4,0.3,38.54700905
1,25.05168337,91.83001824,14,0.526362,-0.4070907,1.381186,33670.35861,1.135802469,51.454678,6,16.166666,354.8115921
1,25.09189549,91.78761753,15,0.513955,-0.3851333,6.1902485,7482.423831,1.148148148,51.48252,4,19.266666,264.5124637
1,25.02207562,91.7649613,10,-0.08672438,0.23657787,3.8427985,12088.91156,-0.395061728,51.36942,4,25.633333,186.0827768
1,25.05519073,91.74657404,8,-0.26189494,0.45158315,1.0237252,45429.95868,-1.259259259,50.14763,7,0.53333336,1000.002566
1,25.12444061,91.75239184,15,0.27424386,-0.2570238,2.9624166,15678.26976,-0.086419753,51.92634,4,25.366667,9.560478671
1,25.04915832,91.68721014,12,0.004467544,0.0804239,6.874018,6734.27813,1,49.88214,4,0.16666667,185.7589384
1,25.14539249,91.72585659,16,0.50081,-0.40477154,3.8430724,12076.13188,0.308641975,51.416935,4,300.83334,428.1942116
1,25.05328217,91.8103522,9,0.4326399,-0.3137277,2.246747,20691.95906,-2.308641975,51.454678,6,109.36667,655.3676005
1,25.04900614,91.82499583,13,0.13814025,-0.003179981,2.0466905,22717.28579,0,51.375427,4,47.466667,83.7105542
1,25.10384704,91.81561232,10,0.21457087,0.016764272,3.451024,13456.40588,0.456790123,52.62562,6,4.1666665,1595.001315
1,25.02254297,91.82160398,14,0.17395496,-0.16583076,1.3810056,33682.57332,1.074074074,51.375427,6,388.16666,70.86228658
1,25.14769448,91.72749175,16,0.5381378,-0.41304952,3.0708754,15120.72368,1,51.416935,4,255.76666,233.1016333
1,25.05917151,91.74138149,7,-0.20380433,0.37951365,3.58359,12962.02175,-1.802469136,50.14763,7,14.833333,898.3491369
1,25.08472691,91.76196019,15,0.64573085,-0.4607046,1.3813907,33656.4609,2.061728395,51.48252,4,8.666667,319.6003475
1,25.04418203,91.71062662,3,-0.15077895,0.3353292,4.804952,9658.314598,-4.308641975,49.474915,7,6.0333333,441.6424253
1,25.03885095,91.7511226,9,0.37314695,-0.209106,2.7802885,16718.52485,-0.728395062,51.36942,7,108.333336,1353.749971
1,25.09681915,91.81531691,13,0.566689,-0.38319874,0.92740995,50132.26783,0.518518519,51.454678,4,17.666666,1698.834417
1,25.14043837,91.74921744,25,0.19727065,-0.17562869,2.1181502,21934.18793,3.49382716,51.416935,4,10.666667,18.77119598
1,25.02649073,91.81023407,14,0.505747,-0.3305835,2.962135,15692.0193,2.098765432,51.375427,6,256.13333,129.6477735
1,25.06771489,91.78769367,10,0.30224636,-0.2592135,0.92740995,50143.92605,0.135802469,51.48252,4,0.96666664,78.33527404
1,25.09426716,91.72775998,11,0.1892994,-0.03104928,2.1179638,21944.21076,0.172839506,50.14763,4,270,768.381714
1,25.08144211,91.80142841,10,-0.341839,0.53381115,2.117912,21947.01664,1.901234568,51.454678,7,0.13333334,1172.708736
1,24.9887679,91.71319427,9,-0.012941886,0.18135798,0,0,-1.50617284,54.57589,4,36.3,96.38211228
1,25.16496821,91.75800134,15,-0.17303912,0.20081787,2.2484488,20657.83547,-1.24691358,51.694046,7,12.933333,913.0982626
1,25.09796397,91.83361711,15,0.4551485,-0.27695513,0.92740995,50131.83423,1.962962963,51.454678,4,4.1666665,135.2653271
1,25.14518697,91.74737492,20,0.568159,-0.44526702,1.3817666,33631.05213,1.691358025,51.416935,4,7.5,318.8095698
1,25.13097134,91.77898267,15,0.5889806,-0.42508322,2.118112,21936.2402,1.938271605,51.92634,4,184.16667,126.1194921
1,25.03508697,91.82062306,13,0.42844903,-0.3767118,2.760563,16838.68022,-0.24691358,51.375427,6,278.4,500.0023678
1,25.09300041,91.75617259,16,0.1470542,-0.16936432,1.8543341,25066.94366,1.938271605,51.48252,4,50.733334,2.697197583
1,25.00816237,91.78627009,8,0.101110734,0.06835694,3.2040148,14507.30408,-3.074074074,51.36942,4,48.666668,250.264182
1,25.10224259,91.79828615,14,0.12057251,-0.007379724,3.2062602,14486.24706,1.530864198,51.92634,4,7.266667,1631.195188
1,25.06231426,91.73292723,8,-0.07075293,0.28146645,3.5836554,12961.47883,-0.962962963,50.14763,4,18.733334,82.01679024
1,25.16448072,91.82049053,24,0.61413836,-0.4695686,2.9625332,15672.60865,4.530864198,49.728397,4,444.86667,228.530378
1,25.15017376,91.79306913,12,0.26565605,-0.16793494,2.7619865,16814.51355,-1.308641975,51.694046,4,532.56665,637.8955217
1,25.04527424,91.69898841,11,-0.048046492,0.2052017,1.0236417,45437.27694,-1.098765432,49.88214,4,3.6333334,408.5073305
1,25.1051557,91.80209245,13,0.5044076,-0.35692805,1.8543341,25064.51361,0.617283951,52.62562,4,33.933334,1494.845412
1,25.15858943,91.78827185,14,0.6322821,-0.46745616,5.1925097,8925.732669,-2.024691358,51.694046,4,480.53333,215.4380646
1,25.06030178,91.82026287,14,0.5541385,-0.44018525,0.92740995,50146.94618,1.432098765,51.454678,6,11.533334,313.5788688
1,25.02915285,91.85189811,13,0.116845995,0.030345974,2.24638,20699.34584,1.296296296,51.85888,6,572.1667,183.0313087
1,25.15604778,91.82113996,17,0.23939638,-0.22132583,1.8543341,25054.29381,0.839506173,49.728397,4,232.33333,1002.003562
1,25.0579414,91.79203512,10,0.3927095,-0.29746762,1.023746,45428.05245,-1.358024691,51.48252,4,1.2333333,163.8645735
1,25.14953406,91.83892812,12,0.49717948,-0.3597736,0.92740995,50111.18348,1.24691358,52.62562,6,224.33333,354.0920662
1,25.03477906,91.67852064,11,0.48940605,-0.41099045,1.3810812,33677.47368,-2.617283951,49.88214,4,0.033333335,129.1722331
1,25.11346007,91.72132003,10,0.42861757,-0.3186359,0.92740995,50125.67708,-0.8375,51.416935,4,727.5,946.2764842
1,25.08269754,91.84808917,14,0.29386058,-0.16662544,3.0692527,15136.59763,2.888888889,51.454678,4,9.866667,741.6192596
1,25.15080736,91.82848917,14,0.091063276,0.047238223,1.3818011,33628.68462,0.679012346,49.728397,4,147.33333,336.8090669
1,25.02096231,91.72572061,12,0.4395352,-0.36093667,2.7603881,16841.62904,1.012345679,49.474915,4,88.96667,467.3332529
1,25.15258655,91.70545023,15,0.47097108,-0.29604736,2.2482579,20661.6457,-0.802469136,51.59333,4,902.1667,946.9319022
1,25.04861359,91.70444964,9,-0.40082222,0.54255587,2.962198,15688.9205,-1.50617284,49.474915,4,0.033333335,41.42209115
1,25.10492516,91.82763587,11,0.26649174,-0.08649517,2.1180077,21941.86452,-0.185185185,52.62562,4,9.666667,394.627847
1,25.13230594,91.73427159,14,0.5596793,-0.38221753,1.3816855,33636.51052,0,51.416935,4,202.83333,137.9955058
1,25.12159313,91.76705706,16,0.08043328,-0.012964585,5.1909857,8931.027954,0.62962963,51.92634,4,50.566666,40.24182013
1,25.12862908,91.77072644,16,0.48614797,-0.35744986,2.9624295,15677.66015,-0.185185185,51.92634,4,61.633335,290.4879794
1,25.14873285,91.75678676,12,-0.35836592,0.51806355,3.2073739,14475.83376,-1.222222222,51.92634,7,3.3333333,460.3875501
1,25.14810166,91.73292263,10,0.50994444,-0.4069092,1.3817838,33629.83167,-4.953846154,51.416935,4,154.83333,280.6950636
1,25.14143987,91.82479753,9,0.29715014,-0.14493684,1.3817425,33632.65568,0.543209877,52.62562,4,28.866667,29.63564514
1,25.01998554,91.81009332,14,0.42791447,-0.35436186,1.8543341,25081.55792,1.296296296,51.375427,6,153.6,106.989225
1,25.00466703,91.70414517,7,-0.103111334,0.24025267,1.380896,33690.02222,-2.197530864,49.474915,6,0.16666667,80.11300426
1,25.1197632,91.83014782,12,0.36250356,-0.20955375,1.3816078,33641.744,0.827160494,52.62562,4,1.7666667,371.4170992
1,25.05446228,91.68815166,10,0.3718024,-0.19086812,3.205116,14496.98249,-0.62962963,51.524773,4,11.233334,565.851229
1,25.06662018,91.74483427,9,0.03794581,0.14413208,4.1919165,11075.01186,0.049382716,50.14763,4,71.36667,195.1706416
1,25.06583804,91.75665128,10,0.1681464,-0.033617068,1.0238134,45422.13288,-1.172839506,51.48252,4,26.433332,109.6093067
1,25.14701197,91.78975447,17,0.5608266,-0.3900002,1.0244925,45362.57487,2.617283951,51.92634,4,571.86664,394.0526078
1,25.01293116,91.73086189,11,0.07130123,0.105654776,3.2041206,14506.29391,0.12345679,49.474915,4,30.533333,41.1733183
1,25.08374562,91.75498023,13,0.30296776,-0.27258733,4.1924753,11072.00489,0.975308642,51.48252,4,19.866667,6.115276005
1,25.04686422,91.70409428,9,-0.011438503,0.14261502,3.4504616,13464.74711,-1.679012346,49.474915,4,0.33333334,250.466069
1,25.02182468,91.74082925,12,0.064702116,0.06908142,3.2043328,14504.3043,-0.938271605,49.474915,4,27.333334,190.4373953
1,25.14957224,91.82411766,13,0.51242197,-0.332197,2.1181874,21932.19183,1.024691358,52.62562,4,116.166664,328.4163491
1,25.05818328,91.7184697,11,0.52401733,-0.38814467,2.9622252,15687.59561,0.580246914,50.14763,4,34.566666,460.5340519
1,25.10940923,91.8321576,12,0.48184982,-0.35986456,0.92740995,50127.29838,1,52.62562,4,13.633333,65.1963469
1,25.08728579,91.79851202,12,0.26428914,-0.10232386,4.939763,9390.239576,1.839506173,51.48252,4,2.4,769.5431288
1,25.08563129,91.85233003,11,0.6101474,-0.47049928,3.5841544,12957.24321,-0.814814815,50.221912,4,22.833334,580.9488842
1,25.15284236,91.80977628,13,0.23723935,-0.15472639,3.5855958,12945.06593,-0.888888889,49.728397,4,252.83333,742.2741054
1,25.05508966,91.78886431,13,0.27125043,-0.1513833,1.8543341,25074.49964,1.296296296,51.48252,4,3.3333333,588.8801562
1,25.02140304,91.82430106,8,0.1650071,-0.28302872,8.5311575,5413.204647,-3.49382716,51.375427,6,437.23334,34.69090357
1,25.14069667,91.73083214,18,0.3610664,-0.30200386,5.909171,7837.996436,-0.382716049,51.416935,4,200.03334,72.81774653
1,25.03817132,91.71722843,9,-0.08048465,0.27922872,2.2465193,20696.54931,-0.592592593,49.474915,7,0.13333334,439.3677494
1,25.05793854,91.76915287,13,0.38066778,-0.15809903,2.117817,21952.11147,1.308641975,51.48252,4,11.866667,589.9002849
1,25.07183211,91.83771741,10,0.6680124,-0.49355012,2.9622653,15685.66225,-1.555555556,51.454678,4,7.733333,1351.410253
1,25.06305671,91.74005776,13,-0.16304749,0.35615134,0.92740995,50145.86783,3.407407407,50.14763,4,40.666668,459.9834475
1,25.05140043,91.68737369,11,0.5207226,-0.330051,1.0236927,45432.76426,-0.395061728,51.524773,4,2.4,256.8786725
1,25.08750261,91.72667769,8,-0.024549931,0.22837907,1.3814079,33655.3161,-1.567901235,50.14763,4,220.56667,1218.175504
1,25.0535065,91.82391563,14,0.5365212,-0.42340374,0.92740995,50149.64205,0.827160494,51.454678,4,24.066668,174.8076978
1,25.06933622,91.79360659,7,-0.33072913,0.5285557,3.8429034,12084.0083,-1.382716049,51.48252,6,4.0666666,543.9274973
1,25.16163654,91.76024764,24,-0.10833785,0.276808,3.4515967,13447.95548,2.086419753,51.694046,7,9.733334,544.0991054
1,25.14069606,91.83230783,11,0.5567447,-0.42594284,4.1388016,11211.00056,-1.37037037,52.62562,4,56.333332,345.9310632
1,25.03178342,91.74594414,12,0.058229696,0.08072435,2.246418,20698.55118,1.234567901,49.474915,4,161.66667,732.7942794
1,25.08269252,91.82915698,14,0.5728329,-0.43895346,2.1179178,21946.72128,0.851851852,51.454678,4,15.233334,46.96520328
1,25.12773531,91.7818123,11,0.5738729,-0.37938055,2.0480092,22688.37353,-1.296296296,51.92634,4,235.5,520.5287098
1,25.00036262,91.72960064,11,0.5086252,-0.37177896,2.2459464,20708.05769,-0.851851852,49.474915,4,124.166664,194.0859349
1,25.08079375,91.78822062,11,0.07557479,0.050661765,4.738343,9791.855718,0.037037037,51.48252,6,6.6666665,14.46150006
1,25.07818472,91.76952839,10,-0.025522076,0.20320407,2.0471773,22706.60247,0.12345679,51.48252,4,20.4,308.237475
1,25.13075646,91.76805253,16,0.5323866,-0.32809424,1.3816751,33637.19835,0.777777778,51.92634,4,37.5,330.8951687
1,25.10577803,91.83884171,10,0.0850604,0.09160603,0.92740995,50128.70098,-0.209876543,52.62562,4,6.1666665,748.2838982
1,25.02897145,91.72002465,7,0.1536797,0.012376726,2.1177015,21958.35956,-2.135802469,49.474915,4,44.866665,540.864996
1,25.13011101,91.79652281,13,0.33970347,-0.22138779,1.3816717,33637.42932,0.802469136,51.92634,4,309.9,244.39338
1,25.0364321,91.82524361,16,0.6942692,-0.52138025,2.7802885,16718.84785,1.111111111,51.375427,4,220.06667,604.3026993
1,25.10914422,91.79426828,10,-0.29683977,0.44461334,3.2064266,14484.71247,-1.283950617,51.92634,4,34.266666,815.7933969
1,25.12930653,91.82189348,13,-0.01595839,0.13087131,1.3816664,33637.77469,1.407407407,52.62562,4,2.1666667,1324.636035
1,25.00458286,91.71423056,13,0.65971696,-0.50163245,1.3808942,33690.13929,1.049382716,49.474915,4,19.766666,68.81781961
1,25.06434437,91.79651784,12,0.10632742,0.10490859,2.1178439,21950.69973,2.49382716,51.48252,7,0.13333334,596.7828787
1,25.13400418,91.73746242,19,0.4821464,-0.31239137,3.20702,14479.15305,3.320987654,51.416935,4,140.03334,273.3737659
1,25.02269302,91.79814509,14,0.4406679,-0.22478685,4.1904945,11082.66523,1.913580247,51.36942,4,91.36667,598.4672189
1,25.06191769,91.83217359,8,-0.13091399,0.32308987,1.3812495,33666.0576,-2.481481481,51.454678,4,4.8333335,868.0790927
1,25.14491203,91.7260217,15,0.5656972,-0.43989313,2.2481434,20663.94856,-0.37037037,51.416935,4,294.53333,403.0659424
1,25.04496287,91.75469653,10,0.087834135,0.09301797,3.2048903,14499.09704,-0.259259259,51.36942,4,40.966667,1446.982069
1,25.12116479,91.80355612,16,0.5691024,-0.4212843,3.4511945,13453.88246,3.185185185,52.62562,4,218.43333,340.1305984
1,25.11451119,91.8413973,11,0.1943345,-0.09815483,2.247677,20673.28024,-0.345679012,52.62562,4,7.366667,875.3766117
1,25.00951455,91.71221344,9,0.47829947,-0.3715781,2.046038,22731.66496,-1.308641975,49.474915,4,8.033334,44.5507467
1,24.99071905,91.72099055,15,0.34874815,-0.19524926,2.7802885,16724.91325,4,54.57589,6,43.2,178.0804669
1,25.07027579,91.78066424,12,0.13527022,0.011694336,1.3813012,33662.55386,0.765432099,51.48252,6,11.266666,249.7986775
1,25.03433117,91.76006566,11,0.5066168,-0.3485258,0,0,0.308641975,51.36942,6,133.33333,429.6371892
1,25.13878225,91.74904291,20,0.16459054,-0.16755895,2.2480457,20665.87418,-1.62962963,51.416935,4,18.266666,14.97741775
1,25.04317164,91.81344517,11,0.537005,-0.3924816,3.2048438,14499.52582,-2.703703704,51.375427,4,224.26666,246.9417392
1,25.07687473,91.84519947,8,-0.024519706,0.24578802,1.3813424,33659.73855,-1.716049383,51.454678,4,0.96666664,1112.931034
1,25.04307868,91.84306501,13,0.542794,-0.40879545,2.7606623,16836.98684,0.172839506,51.375427,6,161.73334,242.1785017
